,text,label
550,Thăm quan vịnh Hạ Long trên du thuyền triệu đô FLC Albatross,Neutral
553,">>> Xem cổ phiếu ảnh hưởng đến chỉ số
Hà Lễ
FILI",Neutral
563,"Tại Sapphire Parkview, nhà phố xây sẵn có hai mẫu nhà liên kế một mái và nhà liên kế hai mái, được thiết kế 3 tầng, gồm 1 trệt và 2 lầu có diện tích chuẩn từ 100 m2 (5x20m) đến 107.5 m2 (5x21.5m); những căn có diện tích lớn hơn, từ 120 m2 (6x20m) đến 132 m2 (6x22m) có vị trí giáp với các shop-house có tầm nhìn về đại lộ Goldsilk Boulevard và công viên Gem Sky Park",Neutral
564,HSC báo cáo kết quả giao dịch chứng chỉ quỹ của tổ chức tạo lập thị trường Quỹ ETF VFMVN30 như sau:,Neutral
568,SPD báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Công ty Cổ phần Long Hậu như sau:,Neutral
577,"Năm 2021, DPM dự kiến sản xuất 766 ngàn tấn Đạm Phú Mỹ, 150 ngàn tấn NPK Phú Mỹ. Sản lượng tiêu thụ đối với riêng 2 sản phẩm này là 770 ngàn tấn và 140 ngàn tấn",Neutral
583,"Thực hiện tốt điều này, người tiêu dùng sẽ tiết kiệm được từ 5-10% cho các hàng hóa thiết yếu, nhà sản xuất và nông dân sẽ gia tăng lợi nhuận từ 5-10% và đối tác nhượng quyền bán lẻ sẽ gia tăng lợi nhuận từ 5-10% so với hoạt động hiện tại của họ",Neutral
589,Công ty Cổ phần Tập đoàn Khách sạn Đông Á thông báo về việc bị cưỡng chế thi hành quyết định hành chính thuế bằng biên pháp ngừng sử dụng hóa đơn như sau:,Neutral
592,Sở Giao dịch Chứng khoán TP.HCM thông báo nhắc nhở thực hiện quy định tại Nghị định 71/2017/NĐ-CP đối với Công ty Cổ phần Ô tô TMT như sau:,Neutral
595,Kế hoạch kinh doanh năm 2021 của Cen Land.,Neutral
600,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay giải trình các nội dung liên quan đến BCTC HN và Cty mẹ kiểm toán năm 2020 - 2019 như sau:,Neutral
606,Chung cư FLC Premier Parc mang phong cách kiến trúc Pháp cổ điển,Neutral
607,"Phải kể đến chùa Lôi Âm hữu tình và cổ kính, chùa Long Tiên tọa lạc dưới chân núi Bài Thơ, đền thờ Đức ông Trần Quốc Nghiễn nằm trang nghiêm hướng ra vịnh Hạ Long... Vãn cảnh thanh tịnh, cầu may mắn, tài lộc tại những địa điểm tâm linh này sẽ giúp du khách cảm thấy thư thái, bình yên, tràn đầy niềm tin yêu cuộc sống.   ",Neutral
610,"HUDLAND lên kế hoạch kinh doanh 2021 ‘ảm đạm’ trong bối cảnh giá cổ phiếu đạt kỷ lục
Trái ngược với thị giá cổ phiếu đang leo thang, thiết lập mức kỷ lục trên thị trường sau 8 năm niêm yết trên sàn, CTCP Đầu tư và Phát triển Bất động sản HUDLAND (HNX: HLD) lại công bố kế hoạch kinh doanh khá bèo bọt khi doanh thu và lợi nhuận đồng loạt đi lùi so với thực hiện năm 2020. 
Cụ thể, HLD dự kiến đem về hơn 135 tỷ đồng tổng doanh thu và 13.7 tỷ đồng lãi sau thuế 2021, lần lượt giảm 30% và 82% so với thực hiện năm trước",Negative
615,- Giai đoạn 2 triển khai các chuyến bay thường lệ chở khách vào Việt Nam có cách ly sau khi nhập cảnh,Neutral
616,Diễn biến giá cổ phiếu Cc4 trong 1 năm gần đây.,Neutral
620,Hoàng hôn muôn sắc màu huyền ảo từ bể bơi vô cực FLC Grand Skyview (FLC Hạ Long),Neutral
622,Sở Giao dịch Chứng khoán TP.HCM thông báo ngày ĐKCC tổ chức ĐHĐCĐ thường niên năm 2021 của Công ty Cổ phần Xây dựng DIC Holdings (mã CK: DC4) như sau:,Neutral
623,Danh sách mã cổ phiếu bị hủy niêm yết trong năm 2016,Neutral
625,Tổng hợp lý do dẫn đến hủy niêm yết của các doanh nghiệp trong năm 2016,Neutral
634,Diễn biến giá cổ phiếu CVN trong 1 năm gần đây.,Neutral
635,"Lý do được đưa ra là do lợi nhuận sau thuế của cổ đông công ty mẹ trên BCTC hợp nhất kiểm toán năm 2020 ghi nhận âm hơn 25 tỷ đồng, đồng thời, lợi nhuận sau thuế chưa phân phối tại ngày 31/12/2020 trên báo cáo cũng ghi nhận âm hơn 24 tỷ đồng",Negative
636,"HIện, giá cổ phiếu HMC có đợt giảm nhẹ sau khi đạt đỉnh lịch sử vào ngày 09/03 vừa qua với 18,900 đồng/cp. Đầu phiên 25/03, cổ phiếu HMC đang ở mức 18,000 đồng/cp, giảm gần 5% so với đỉnh lịch sử",Negative
637,"Eximbank muốn sửa điều lệ tiến hành họp ĐHĐCĐ, trả cổ tức 1,800 đồng/cp
Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam (Eximbank, HOSE: EIB) vừa công bố tài liệu họp ĐHĐCĐ thường niên. Nhiều vấn đề nóng sẽ được Eximbank trình tại Đại hội sắp tới như sửa đổi điều lệ Ngân hàng và kế hoạch trả cổ tức",Negative
643,"Kết quả, gần 13.5 tỷ đồng chi phí được ghi nhận thêm đã kéo lợi nhuận sau thuế của IVS giảm gần 60%",Negative
657,"Một số địa điểm thu trọn toàn cảnh hoàng hôn rực rỡ trên vịnh biển đẹp nhất châu Á phải kể đến: hồ bơi vô cực lộ thiên FLC Grand Skyview toạ lạc trên độ cao 110m so với mặt nước biển, Paradise Sky Bar nằm trên tầng thượng của khách sạn FLC Grand Ha Long với tầm nhìn hút mắt. Bên cạnh đó, nhiều du khách cũng lựa chọn ngắm hoàng hôn trên các tàu cá của ngư dân để được đắm mình trong khung cảnh bình yên khi mặt trời nhẹ nhõm lặn xuống biển sau một ngày dài. ",Neutral
658,"Trong giai đoạn tới, chúng tôi tin rằng các sản phẩm và thương hiệu hiện tại sẽ không đủ để đáp ứng nhu cầu ngày càng cao của người tiêu dùng về các sản phẩm độc đáo, mới lạ, tiện dụng và những trải nghiệm tiêu dùng phù hợp với sở thích cá nhân. Với việc tham gia vào lĩnh vực bán lẻ hiện đại, ban đầu tập trung vào các ngành hàng nhu yếu phẩm, có thể nói rằng chúng ta đã thực hiện những bước đầu đúng đắn và sở hữu hầu hết các yếu tố quan trọng để xây dựng nền tảng công nghệ tích hợp “Point-of-Life”, báo cáo Masan nhận định",Positive
669,"Ảnh hưởng của dịch bệnh Covid-19 làm cho một số đơn hàng khách đã yêu cầu giảm giá bán từ 1-2% so với giá ký ban đầu. Bên cạnh đó, các khoản dự phòng tăng và các khoản chi phí đầu vào Công ty vẫn phải duy trì thanh toán đúng theo quy định. Từ đó dẫn đến doanh thu và lãi ròng Đầu tư và Thương mại TNG (HNX: TNG) lần lượt giảm 3% và 34% so với cùng kỳ, xuống còn 4,484 tỷ đồng và 152 tỷ đồng. Như vậy, khép lại năm 2020, TNG thực hiện được 97% kế hoạch doanh thu và 66% kế hoạch lãi sau thuế",Positive
670,"GDT: Giá mục tiêu 74,951 đồng/cp
Theo CTCK Bảo Việt (HNX: BVS), CTCP Chế biến Gỗ Đức Thành (HOSE: GDT) được biết đến là công ty xuất khẩu hoạt động trong thị trường ngách khi duy trì tỷ trọng xuất khẩu ở mức cao bền vững, khoảng 85% doanh thu thuần, ngoài ra còn được hậu thuẫn bởi tập khách hàng trung thành ở Hàn Quốc và Nhật Bản. GDT chủ yếu phục vụ đơn đặt hàng các sản phẩm chất lượng cao, tinh xảo và được thiết kế riêng, tạo sự khác biệt và chịu ít áp lực cạnh tranh, đồng thời duy trì tỷ suất lợi nhuận rất cao",Positive
671,"Kế hoạch lấp đầy nhà máy công suất của MEATDeli?
Ông Phạm Trung Lâm: Tôi hiểu câu hỏi này đang đề cập tới 2 nhà máy MEATDeli ở Hà Nam và ở HCM. Hiện chúng tôi đang sử dụng công suất 7% của nhà máy. Hiện sản phẩm chúng tôi đã bao phủ khoảng 1,300 cửa hàng VinMart/VinMart+ ở Hà Nội và HCM. Với 3,000 cửa hàng VinMart/VinMart+ trong năm nay như kế hoạch cùng với các cửa hàng khác sẽ giúp chúng tôi nâng cao năng suất nhà máy lên khoảng 30%. Năng suất nhà máy có thể đạt 100% vào năm thứ 3, tức rơi vào năm 2023. Dự kiến đến hết tháng 5/2021, sản phẩm MEATDeli sẽ bao phủ khắp toàn tỉnh thành Việt Nam",Positive
673,"Đáng chú ý, ngay sau thông tin thoái vốn của dàn Ban lãnh đạo được công bố, giá cổ phiếu CDC đã tăng trần lên mức 25,500 đồng/cp (chốt phiên 18/12/2020), tăng 21% qua 1 tháng trở lại đây, với khối lượng giao dịch bình quân hơn 66,000 cp/phiên",Positive
674,"Trước đó không lâu, trong đợt giao dịch từ ngày 05/02 - 03/03/2021, HAG đã bán ra 75 triệu cp, ước thu về khoảng 825 tỷ đồng",Positive
675,"Kỳ này, chi phí bán hàng và chi phí quản lý doanh nghiệp cũng đồng loạt giảm. Ngược lại, chi phí tài chính lại tăng 38%, lên gần 7 tỷ đồng",Negative
676,"Công ty CP Thuận Thảo là doanh nghiệp có tiếng trong lĩnh vực kinh doanh vận tải ở khu vực phía Nam. Tuy vậy, từ khi chuyển hướng sang lĩnh vực du lịch nghỉ dưỡng và bất động sản, công ty đã gặp nhiều khó khăn, làm ăn thua lỗ. Đây là doanh nghiệp thuộc sở hữu của nữ đại gia Võ Thị Thanh, người từng nhận giải “bông hồng vàng” Phú Yên",Negative
677,"MBS - CTCP Chứng khoán MB 
Giá cổ phiếu đang tiến lên test lại vùng kháng cự 23,000-24,500 (đỉnh cũ tháng 01/2021). Trong phiên sáng ngày 08/03/2021, giá cổ phiếu đã có lúc vượt lên trên vùng kháng cự này. Tuy nhiên, lực bán xuất hiện mạnh ở vùng giá cao đã làm cho chỉ số thu hẹp sắc xanh",Positive
679,Các công ty con quản lý mảng thu phí không dừng của Tasco là CTCP VETC và Công ty TNHH thu phí tự động VETC từng có giai đoạn đối mặt với nguy cơ phá sản. Khoản lỗ lũy kế tại nhóm VETC lên đến hàng trăm tỷ đồng,Negative
680,"Thị trường thuận lợi, hàng loạt doanh nghiệp đẩy mạnh việc chào bán cổ phiếu tăng vốn điều lệ",Positive
681,"Cổ phiếu HUT từng được săn đón bởi các định chế tài chính lớn như VinaCapital, PYN Elite Fund nhưng cuối cùng lại gây nên thua lỗ lớn cho nhà đầu tư. Hiện, nhóm PYN Elite Fund và VinaCapital vẫn đang mắc kẹt với hàng chục triệu cổ phần tại Tasco. Kết phiên 04/11, cổ phiếu HUT chốt giá 2,400 đồng/cp, giảm gần 80% sau 3 năm",Negative
682,"Các CTCK nhóm dưới cũng không nằm ngoài động thái tăng vốn. Chứng khoán Everest (EVS) sẽ phát hành thêm cổ phiếu để tăng vốn lên 1,000 tỷ đồng, DNSE đặt mục tiêu tăng vốn từ 160 tỷ đồng lên 320 tỷ đồng",Positive
683,"Tại Mỹ, giá HRC nội địa đạt trung bình 1,316 USD/tấn trong tháng 2/2021. Mức giá thép dẹt tại nền kinh tế lớn nhất thế giới được dung dưỡng bởi tình trạng thiếu nguồn cung nội địa, thời gian giao hàng lâu và nguồn cung nhập khẩu hạn chế. Hiện, Mỹ vẫn đang áp thuế nhập khẩu 25% (theo Mục 232 Đạo luật Thương mại) đối với thép",Negative
684,"Về hoạt động kinh doanh, MDC đặt mục tiêu năm 2020 với doanh thu hơn 2,065 tỷ đồng và lãi trước thuế gần 28 tỷ đồng, lần lượt ở mức xấp xỉ và giảm 37% so với thực hiện năm 2019. Sau nửa đầu năm, MDC đã thực hiện được 50% và 49% kế hoạch",Positive
685,"Ngược lại, Tổng Công ty Đầu tư và Phát triển Công nghiệp (HOSE: BCM) báo lãi đi lùi 21%, xuống còn 1,958 tỷ đồng. Qua đó, đơn vị này vượt 130% kế hoạch lãi sau thuế đề ra trong năm 2020",Positive
686,"Vụ tai tiếng đỉnh điểm bắt đầu từ KSS - CTCP Khoáng Sản Na Rì Hamico khi chủ tịch và kế toán trưởng là ông Nguyễn Văn Dĩnh và bà Hà Thị Thu Huyền bị khởi tố vì tội danh làm giả con dấu, tài liệu của cơ quan tổ chức. Theo đó, KSS rớt về giá dưới 1,000 đồng/cp, tương ứng giảm hơn 81% trong năm 2015, đã gây áp lực khiến giá BAM giảm sâu chỉ còn 1,400 đồng/cp cũng trong năm này. Không chỉ chịu ảnh hưởng bởi kinh doanh cùng ngành, sau vụ khởi tố tại Khoáng Sản Na Rì Hamico thì BAM cũng bị đưa vào diện thanh tra soát xét. Tuy nhiên, về mối quan hệ giữa KSS và BAM cho thấy hai công ty này không có sự sở hữu cổ phần qua lại. Có chăng trước đây hai bên đã từng ký kết hợp đồng liên doanh số 02/LKLD/2012 để thực hiện dự án nhà máy luyện chì Ngân Sơn tại xã Thượng Quân, huyện Ngân Sơn, tỉnh Bắc Cạn. Được biết, hợp đồng ký kết vào ngày 28/08/2012, nhưng sau đó bên đã dừng liên doanh và đến cuối năm 2014, khoản phải thu trị giá 50 tỷ đồng về thương vụ trên đã được thanh toán hết",Negative
687,"Cả năm 2020, DSN báo lãi ròng đạt hơn 41 tỷ đồng, giảm gần 57% so với năm 2019",Negative
688,"Được biết, cổ phiếu IVS hiện vẫn đang nằm trong diện bị cảnh báo kể từ ngày 11/03/2020 do do lợi nhuận sau thuế năm 2019 và lợi nhuận sau thuế chưa phân phối tại ngày 31/12/2019 trên BCTC kiểm toán năm 2019 là số âm, thuộc trường hợp bị cảnh báo theo quy định",Negative
689,"Xót xa hơn, Đầu tư và Phát triển Đức Quân (HOSE: FTM) báo lỗ ròng 200 tỷ đồng do doanh thu không đủ bù đắp chi phí. Doanh thu thuần cũng tuột dốc 92%, xuống còn 81 tỷ đồng",Negative
690,"Xem thêm tại đây 
Mua GHC với giá mục tiêu 37,600 đồng/cp
Theo CTCK FPT (HOSE: FTS), các nhà máy của CTCP Thủy điện Gia Lai (UPCoM: GHC) sở hữu vị trí địa lý thuận lợi và chi phí đầu tư thấp do đều được xây dựng ở những vị trí có nguồn thủy năng hoặc nguồn bức xạ dồi dào, đồng thời có suất đầu tư thấp hơn so với mức trung bình của từng loại hình phát điện, trong khi sản lượng sản xuất vẫn được đảm bảo. Nhờ đó các nhà máy đem lại hiệu quả kinh tế cao cho doanh nghiệp",Positive
691,"Đứng trong bối cảnh chung đầy “trầy trật” của doanh nghiệp dệt may, Tổng CTCP May Việt Tiến (UPCoM: VGG) đại diện báo lãi ròng giảm mạnh nhất với mức giảm 65% so với năm trước, xuống còn 143 tỷ đồng. Đây cũng là mức lãi thấp nhất trong vòng 10 năm trở lại đây của doanh nghiệp dệt may này. Theo VGG, nguyên nhân là do tác động tiêu cực của đại dịch Covid-19 trên toàn thế giới, đặc biệt là tại Nhật Bản, Mỹ và EU (đây là thị trường xuất khẩu chủ yếu của Tổng Công ty). Các đối tác nhập khẩu tại các nước này đã giảm 1 phần đơn hàng dẫn đến doanh thu giảm",Negative
692,"Với hành vi trên, HĐXX tuyên phạt bị cáo Trần Hữu Tiệp tù chung thân về tội lừa đảo chiếm đoạt tài sản. 14 bị cáo còn lại bị tuyên từ 18 tháng tù đến 12 năm tù về các tội lừa đảo chiếm đoạt tài sản, thao túng giá chứng khoán, làm giả con dấu, tài liệu của cơ quan, tổ chức và tội giả mạo trong công tác. Trong đó có một số bị cáo được tòa cho hưởng án treo",Negative
693,"Mới đây, Cục Thi hành án dân sự Phú Yên có thông báo về kết quả xử lý tổng số 43,9 tỷ đồng thu được từ việc bán đấu giá tài sản kê biên khu resort Thuận Thảo của Công ty CP Thuận Thảo. Sau khi trừ các chi phí, Cục Thi hành án dân sự tỉnh đã chuyển 40,6 tỷ đồng còn lại cho BIDV Phú Tài để thi hành án. 
Phương Anh Linh
Vietnamnet",Negative
694,"Do kinh doanh dưới giá vốn và không còn nhận được khoản hỗ trợ không hoàn lại của Ủy Ban Nhân dân TP.HCM cho dự án nước Củ Chi số tiền 200 tỷ đồng như năm 2019, Hạ tầng Nước Sài Gòn (Saigon Water, HOSE: SII) lần đầu báo lỗ kể từ khi niêm yết (12/09/2012) với mức lỗ ròng đến hơn 105 tỷ đồng",Negative
695,"Tuy nhiên, ban lãnh đạo LAS vẫn nhận định 2021 là năm mà giá cả sẽ có nhiều biến động mạnh, mức độ cạnh tranh sẽ ngày càng khốc liệt, cùng với đó là tình hình dịch bệnh Covid-19 còn kéo dài, thiên tai bão lũ còn diễn biến phức tạp sẽ ảnh hưởng trực tiếp tới lợi nhuận của toàn Công ty. ",Negative
696,"Cùng với đó, FMC đặt kế hoạch tiếp tục mở rộng, từng bước nâng cao mức độ tự chủ về nguyên liệu nhằm thúc đẩy năng lực cạnh tranh. Đến năm 2021, FMC phấn đấu đạt tỷ lệ 30% nguồn tôm nguyên liệu. Trong khi, các đối thủ chính như MPC có tỷ lệ tự chủ thấp hơn FMC. Tuy nhiên, do quỹ đất phát triển vùng nuôi tôm không còn nhiều, nên việc mở rộng vùng nuôi gia tăng tỷ lệ tự chủ sẽ là thách thức của các doanh nghiệp chế biến tôm lớn trong tương lai",Negative
697,"Lãi ròng năm 2020 của DPR giảm 28%
Theo BCTC hợp nhất đã kiểm toán năm 2020 vừa công bố, CTCP Cao su Đồng Phú (HOSE: DPR) báo lãi sau thuế giảm 28% so với năm 2019, còn gần 147 tỷ đồng",Negative
698,"Ngoài ra, trong bối cảnh mới, việc tiếp tục xuất khẩu như hiện nay, về gia công thì ta cần có thêm định hình, chuyển đổi mô hình từ sản xuất gia công sang xây dựng thương hiệu trong thời trang dệt may da giày để xuất khẩu được thông qua các hiệp định đã ký. Hưởng lợi từ nguyên phụ liệu từ việc giảm thuế thông qua các hiệp định. Đây là điều kiện để ta mạnh dạn chuyển đổi. Sang năm 2021, các hiệp định mang lại lợi thế cho ngành, các thương hiệu cao cấp sẽ hưởng lợi nhiều",Positive
699,"Khối tài sản này là tài sản kê biên, xử lý tài sản thi hành án của Chi cục Thi hành án dân sự TP.Tuy Hoà vào năm 2018. Đây là lần thứ 12 khối tài sản kê biên của “đại gia” vận tải Thuận Thảo được BIDV Phú Tài mang ra bán đấu giá, với giá khởi điểm là 310,2 tỷ đồng",Negative
700,"*HNX sắp tiếp nhận 65 triệu cp từ sàn HOSE chuyển sang 
Duy Na
FILI",Negative
701,"Lãi vay góp phần đưa doanh nghiệp đến thua lỗ
Đáng chú ý, ở trường hợp của Hoàng Anh Gia Lai (HOSE: HAG), ôm lỗ khủng hơn 1,200 tỷ đồng trong khi năm trước lãi gần 190 tỷ đồng. Mặc dù chi phí lãi vay giảm so với năm trước nhưng con số này vẫn ở mức cao ngất ngưỡng, hơn 1,200 tỷ đồng. Tổng nợ vay tính đến cuối năm 2020 cũng tăng 23% so với đầu năm, lên mức 18,102 tỷ đồng. Nợ nần chồng chất, doanh nghiệp này đã phải bán 47.5 triệu cp HNG để tái cơ cấu các khoản nợ vay ngân hàng. 
Điển hình trong nhóm doanh nghiệp lỗ có chi phí lãi vay tăng mạnh là Tập đoàn Đất Xanh (HOSE: DXG) với nợ vay ngắn hạn tăng gần gấp đôi so với đầu năm, nâng tổng dư nợ vay lên mức 5,945 tỷ đồng. Trong đó, DXG huy động vốn vay từ trái phiếu ngắn hạn gần 1,435 tỷ đồng để bổ sung vốn và tài trợ cho dự án đang triển khai trong khi đầu năm không ghi nhận mục này. Lãi vay tăng mạnh khiến chi phí cũng tăng 56%, lên mức 309 tỷ đồng",Negative
702,"Giao dịch này được thực hiện ngay trong ngày DXG có giải trình về việc lỗ thêm 64 tỷ đồng so với báo cáo tự lập, ghi nhận lỗ ròng sau kiểm toán gần 496 tỷ đồng trong năm 2020",Negative
703,"Theo BCTC kiểm toán 2020, doanh thu thuần của HLY đã giảm gần 29% so với năm 2019, còn hơn 36 tỷ đồng. Tuy nhiên, kinh doanh dưới giá vốn đã khiến Công ty lỗ gộp hơn 7 tỷ đồng. Tính thêm các khoản chi phí, HLY báo lỗ ròng hơn 14 tỷ đồng. Số lỗ lũy kế tính tới cuối năm 2020 của Công ty ở mức hơn 21 tỷ đồng, đã thâm hơn 500 triệu đồng vào vốn chủ sở hữu",Negative
704,"Đáng chú ý, theo thuyết minh báo cáo tài chính về các khoản phải thu khách hàng của MTM, phần lớn các công nợ phải thu thực chất là xuất hóa đơn, tạo công nợ ảo để lừa đảo khi bán chứng khoán. Cụ thể, 6 khoản phải thu liên quan đến các CTCP Đầu tư Khoáng sản Tây Bắc (KTB), CTCP Khoáng sản và Luyện kim màu (KSK), CTCP Khoáng sản Hòa Bình (KHB), CTCP Luyện kim Đông Bắc, CTCP Luyện kim Phú Thịnh (PTK), CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam (FID)",Negative
705,"Năm 2020, GTA đem về 568 tỷ đồng doanh thu thuần, 23 tỷ đồng lãi trước thuế và 18.3 tỷ đồng lãi sau thuế. Công ty đã thực hiện 88% kế hoạch doanh thu và hoàn thành chỉ tiêu lợi nhuận đề ra",Positive
707,"Đối với Chứng khoán SSI (HOSE: SSI), Công ty chuẩn bị phát hành thêm gần 47 triệu cổ phần để thực hiện chuyển đổi 1,150 tỷ đồng trái phiếu thành cổ phiếu theo yêu cầu của trái chủ. Giá chuyển đổi là 24,541 đồng/cổ phiếu (đã được điều chỉnh theo điều khoản chống pha loãng). Ước tính sau khi thực hiện thành công vốn điều lệ của SSI tăng lên gần 6,500 tỷ đồng. Công ty cho biết việc quyết định chuyển đổi thành cổ phiếu là thông tin tích cực, đảm bảo duy trì nguồn lực tài chính vững chắc, tăng khả năng thực hiện các hoạt động như cho vay margin, phát hành trái phiếu… đáp ứng nhu cầu ngày càng lớn của khách hàng và doanh nghiệp trong nước",Positive
709,"
Sau nhiều ngày xét xử, chiều 7-5, TAND TP Hà Nội đã đưa ra phán quyết với các bị cáo trong vụ thao túng chứng khoán xảy ra tại Công ty cổ phần Mỏ và khoáng sản Miền Trung - MTM",Negative
710,"Theo cáo trạng, tháng 9-2010, Nguyễn Văn Dĩnh (nguyên giám đốc Công ty cổ phần Khoáng sản Nari Hamico) đã mua lại hồ sơ pháp lý Công ty MTM do Trần Hữu Tiệp là chủ tịch HĐQT với giá 3 tỉ đồng để sở hữu quyền khai thác mỏ chì kẽm đa kim loại tại Nghệ An",Positive
711,"Hausman tiếp giáp nhiều tuyến đường trọng điểm phía Tây bao gồm đường 70 mở rộng, đường Lê Quang Đạo kéo dài và các tuyến đường quy hoạch mở rộng liên vùng. Từ dự án cư dân còn có thể dễ dàng tiếp cận hàng loạt cơ quan hành chính trọng yếu của nhà nước, hệ thống trường học quốc tế các cấp và nhiều bệnh viện lớn tại khu vực phía Tây. ",Positive
712,"Doanh thu không đủ bù đắp chi phí, kết thúc năm 2020, Đầu tư và Phát triển Đức Quân (HOSE: FTM) chỉ thu về 81 tỷ đồng doanh thu thuần, giảm 92% so với năm 2019 và lỗ ròng 200 tỷ đồng trong khi cùng kỳ chỉ lỗ 94 tỷ đồng",Negative
714,"Nhờ chi phí bán hàng và chí phí quản lý được điều chỉnh giảm lần lượt 4% và 6% giúp biên lợi nhuận từ hoạt động kinh doanh của Công ty tăng từ 1% lên hơn 1.2%. Nhờ vậy, lãi sau thuế hậu kiểm toán của HAT đã ghi nhận tăng 13% so với kết quả lũy kế , lên gần 9 tỷ đồng. ",Positive
715,"Bên cạnh đó, TV2 có nền tảng tài chính lành mạnh với tỷ lệ nợ vay/vốn chủ sở hữu năm 2020 chỉ ở quanh mức 6%. Đây là cơ sở giúp TV2 có thể triển khai cùng lúc nhiều dự án. Mục tiêu giai đoạn 2020 - 2025 TV2 sẽ tham gia làm chủ 500 MW nguồn điện",Positive
716,"[Bài cập nhật] 
Bộ đôi KTB và PTK bị tạm ngừng giao dịch sau gần 1 tháng sang UPCoM
Sở giao dịch chứng khoán Hà Nội (HNX) thông báo việc tạm ngừng giao dịch của cổ phiếu CTCP Đầu tư Khoáng sản Tây Bắc (UPCoM:  KTB) và CTCP Luyện Kim Phú Thịnh (UPCoM:  PTK) tại hệ thống giao dịch UPCoM nhằm bảo vệ quyền lợi nhà đầu tư",Negative
717,"Khi vụ việc được chuyển sang cơ quan công an, cơ quan điều tra xác định có 1.064 người đứng tên sở hữu cổ phiếu MTM chịu thiệt hại số tiền 56 tỷ đồng",Negative
718,"Được biết, KTB và PTK vừa mới bị hủy niêm yết trên HOSE do vi phạm công bố thông tin nghiêm trọng. KTB đã bất ngờ chậm nộp BCTC quý 2/2015 và “giấu nhẹm” BCTC trong các kỳ kế toán tiếp theo dù cho Sở giao dịch chứng khoán Hồ Chí Minh (HOSE) liên tục gửi văn bản nhắc nhở. PTK thì cho đến hiện nay vẫn chưa công bố BCTC quý 2/2015 hay các báo cáo cần công bố sau đó",Negative
719,Lý do các doanh nghiệp này bị nhắc nhở vi phạm trên toàn thị trường do chậm công bố báo cáo tài chính bán niên soát xét 2018 quá 30 ngày,Negative
720,"Mong muốn có nhiều quy chế hỗ trợ riêng
Bên cạnh đề xuất điều chỉnh trần và sàn giá vé máy bay, tại buổi làm việc, Vietnam Airlines cũng đề nghị nhà chức trách hàng không có nhiều hỗ trợ để doanh nghiệp phát huy vai trò, trách nhiệm là hãng hàng không quốc gia",Neutral
721,"Ngày 07/05, Sở Giao dịch Chứng khoán Hà Nội (HNX) vừa ra quyết định hủy niêm yết cổ phiếu DNY. Theo đó, gần 27 triệu cp với mã DNY sẽ bị hủy niêm yết vào ngày 05/06 (giao dịch cuối cùng vào ngày 04/06)",Negative
722,"“Cả hai yếu tố này FLC đều đáp ứng được. Nhà đầu tư chung thuỷ với FLC sẽ luôn có ngày hái quả”, ông nói.   
Cũng theo ông Quyết, nội tại của FLC không thời điểm nào tốt hơn thời điểm này, dù 2020 là một năm khó khăn, thách thức trên cấp độ toàn cầu. Đến thời điểm hiện tại, FLC đã tích luỹ một khối lượng trên 300 dự án, với quãng thời gian dài quyết liệt hoàn thiện các thủ tục pháp lý cần thiết để có thể dần đưa sản phẩm ra thị trường trong thời gian tới",Positive
723,"Đây là vụ án đầu tiên TAND TP Hà Nội đưa ra xét xử về hành vi thao túng giá chứng khoán. HĐXX đã triệu tập 1,065 người bị hại, 107 người có quyền lợi, nghĩa vụ liên quan, 10 người làm chứng… Tuy nhiên, có rất ít người đến tòa",Negative
724,"*VTS đứng sát bờ vực hủy niêm yết
 
Hà Lễ
FILI",Negative
725,"Thép cuộn cán nóng (HRC) từ Trung Quốc thời gian gần đây tăng giá một phần do tin đồn về việc Chính phủ quốc gia tỷ dân có thể cắt giảm các mức chi hỗ trợ xuất khẩu, dẫn đến động thái nâng giá bán để bảo đảm lợi nhuận từ các nhà sản xuất. Hãng nghiên cứu SteelMint cho biết nhiều bên tham gia thị trường mong rằng mức chi hỗ trợ xuất khẩu sẽ giảm về mức 8-9% từ mức 13% của hiện tại, qua đó, khiến giá xuất khẩu tăng cao hơn và mở ra cánh cửa cho các nhà cung cấp từ các quốc gia khác cạnh tranh với thép Trung Quốc",Negative
726,"Mã DXG vào diện cảnh báo và bị cắt margin
Ngày 24/03, Sở Giao dịch Chứng khoán TP.HCM (HOSE) đã quyết định đưa cổ phiếu DXG của CTCP Tập đoàn Đất Xanh (HOSE: DXG) vào diện bị cảnh báo kể từ ngày 31/03/2021",Negative
727,"Theo cáo trạng, Trần Hữu Tiệp và Phùng Thành Công đã có hành vi gian dối như thay đổi cổ đông, thay đổi nhân sự chủ chốt, nhờ người làm giám đốc nhận ủy quyền giao dịch tài khoản, sở hữu một số cổ phiếu… dùng các tài liệu giả của Công ty MTM đăng ký giao dịch trên sàn UPCoM",Negative
